Employee_ID,Hospital,Department,Job_Level,Job_Role,Location,Gender,Age,Education,Employment_Type,Work_Mode,Shift,Years_at_Hospital,Years_in_Current_Role,Total_Work_Experience,Monthly_Salary_INR,Annual_Salary_INR,Annual_Bonus_INR,Job_Satisfaction,Work_Life_Balance,Performance_Rating,Overtime_Hours_Month,Overtime,Night_Shifts_Month,Training_Hours_Year,Patients_Handled_Month,Projects_Count,Promotions_Last_5_Years,Manager_Rating,Distance_From_Home_KM,Salary_Growth_Potential,Attrition_Probability,Attrition
HOSP10251,Mangalore Medical Centre,Emergency,L2,Consultant Doctor,Bengaluru,Female,53,PhD,Full-Time,On-Site,Night,6,2,19,21447,257364,144493,1,4,2,42,Yes,2,104,185,4,1,1,3.0,Medium,0.7201,Yes
HOSP10252,CityCare Hospital,Pediatrics,L2,IT Support Engineer,Hubballi,Female,38,PhD,Full-Time,Hybrid,Rotational,4,9,9,28662,343944,88747,1,4,1,56,Yes,13,44,201,6,0,3,16.7,Medium,0.9537,Yes
HOSP10253,Manipal Hospital,Outpatient,L4,Pharmacist,Udupi,Male,29,Diploma,Full-Time,On-Site,Night,20,0,20,76282,915384,11202,5,2,1,9,No,15,2,224,2,1,2,43.1,High,0.8969,No
HOSP10254,AIIMS Mangaluru,IT,L1,Physiotherapist,Udupi,Male,43,Diploma,Full-Time,On-Site,Night,17,10,30,153971,1847652,109407,2,5,2,36,Yes,11,21,385,2,2,4,44.3,Medium,0.9388,Yes
HOSP10255,Fortis Hospital,IT,L3,Lab Technician,Mysuru,Female,30,MD/MS,Full-Time,On-Site,Night,11,10,11,46582,558984,173257,1,1,5,47,Yes,9,26,264,2,2,4,9.5,Medium,0.8795,Yes
HOSP10256,AIIMS Mangaluru,ICU,L3,Resident Doctor,Kochi,Male,39,MD/MS,Part-Time,On-Site,Rotational,5,7,27,85471,1025652,237735,4,1,3,68,Yes,1,54,378,7,1,3,7.1,Medium,0.8888,Yes
HOSP10257,AIIMS Mangaluru,Outpatient,L2,Pharmacist,Mysuru,Male,25,MBBS,Contract,On-Site,Rotational,0,0,0,141513,1698156,134757,4,3,5,55,Yes,1,66,352,5,3,2,16.2,Medium,0.8103,Yes
HOSP10258,Manipal Hospital,Pediatrics,L2,Consultant Doctor,Kochi,Female,43,Master's,Part-Time,Hybrid,Rotational,3,4,20,125578,1506936,90197,5,1,1,75,Yes,12,32,328,8,1,1,15.5,Medium,0.9801,Yes
HOSP10259,AIIMS Mangaluru,Laboratory,L2,Medical Officer,Bengaluru,Female,50,Diploma,Full-Time,On-Site,Night,18,3,16,93871,1126452,42637,4,3,2,35,Yes,12,1,140,8,2,4,34.3,Medium,0.8885,Yes
HOSP10260,CityCare Hospital,Nursing,L4,IT Support Engineer,Mangaluru,Female,45,MD/MS,Full-Time,On-Site,Rotational,11,6,8,101205,1214460,149438,5,5,2,30,Yes,7,74,278,7,1,3,20.3,Medium,0.709,No
HOSP10261,CityCare Hospital,Pharmacy,L2,Resident Doctor,Mysuru,Female,48,Diploma,Full-Time,On-Site,Day,14,4,22,92081,1104972,234320,1,1,2,54,Yes,5,45,229,0,0,4,35.2,Medium,0.9586,Yes
HOSP10262,Apollo Hospital,ICU,L2,Consultant Doctor,Mysuru,Female,54,MD/MS,Full-Time,On-Site,Rotational,2,7,18,123783,1485396,24276,1,3,2,37,Yes,11,73,329,5,1,2,33.8,Medium,0.9314,Yes
HOSP10263,District General Hospital,IT,L2,Radiology Technician,Kochi,Female,45,Bachelor's,Full-Time,Hybrid,Night,19,10,24,101805,1221660,80946,1,5,3,72,Yes,11,102,315,3,3,1,26.2,High,0.9767,Yes
HOSP10264,Mangalore Medical Centre,General Medicine,L3,Radiology Technician,Bengaluru,Male,30,Diploma,Full-Time,On-Site,Night,7,0,17,142698,1712376,179311,1,5,4,14,No,11,118,213,3,0,2,37.6,Medium,0.8301,Yes
HOSP10265,Fortis Hospital,General Medicine,L1,Data Analyst,Bengaluru,Male,34,Bachelor's,Full-Time,Hybrid,Night,10,4,27,156138,1873656,75214,2,3,1,15,No,12,32,87,2,2,5,9.2,High,0.6563,Yes
HOSP10266,AIIMS Mangaluru,Emergency,L2,Data Analyst,Chennai,Female,50,Diploma,Full-Time,On-Site,Rotational,15,3,6,28712,344544,155647,2,3,3,76,Yes,5,57,133,8,1,2,7.7,Low,0.9641,Yes
HOSP10267,AIIMS Mangaluru,Laboratory,L3,Consultant Doctor,Kochi,Male,45,Master's,Full-Time,On-Site,Day,8,2,8,99527,1194324,172473,1,2,5,52,Yes,3,6,239,1,3,2,33.9,Low,0.9491,Yes
HOSP10268,Manipal Hospital,Cardiology,L5,Pharmacist,Bengaluru,Female,34,MBBS,Part-Time,On-Site,Rotational,2,4,21,147453,1769436,41230,4,5,4,55,Yes,0,14,239,0,3,4,11.4,Medium,0.7259,Yes
HOSP10269,District General Hospital,IT,L2,Data Analyst,Hubballi,Female,55,PhD,Full-Time,On-Site,Night,4,9,25,144888,1738656,210496,5,3,4,6,No,10,25,237,9,2,2,0.6,High,0.3801,No
HOSP10270,CityCare Hospital,Physiotherapy,L2,IT Support Engineer,Udupi,Female,54,PhD,Part-Time,On-Site,Night,19,2,20,105185,1262220,213335,3,5,2,56,Yes,6,10,256,2,1,3,41.1,Medium,0.9478,Yes
HOSP10271,Fortis Hospital,Laboratory,L2,Resident Doctor,Chennai,Female,30,PhD,Full-Time,On-Site,Day,13,7,11,117851,1414212,124086,5,1,3,54,Yes,7,37,317,3,3,4,28.2,Low,0.9386,Yes
HOSP10272,Apollo Hospital,Nursing,L3,Pharmacist,Hubballi,Male,55,Bachelor's,Full-Time,On-Site,Night,14,2,6,179878,2158536,129526,3,4,5,51,Yes,15,26,113,3,0,4,20.3,Low,0.9435,Yes
HOSP10273,CityCare Hospital,Pharmacy,L2,Data Analyst,Mangaluru,Female,31,MD/MS,Full-Time,On-Site,Night,5,0,13,30210,362520,245579,3,4,2,3,No,1,117,272,5,1,5,32.8,Medium,0.3948,Yes
HOSP10274,District General Hospital,Pediatrics,L3,Senior Nurse,Mysuru,Male,31,PhD,Full-Time,On-Site,Night,3,8,14,54972,659664,199689,1,3,2,42,Yes,1,102,376,0,2,3,15.3,Low,0.7437,Yes
HOSP10275,Mangalore Medical Centre,Outpatient,L4,Physiotherapist,Chennai,Female,41,Master's,Contract,On-Site,Rotational,7,8,14,52136,625632,154093,3,3,1,39,Yes,15,6,234,0,0,2,42.9,Medium,0.9685,Yes
HOSP10276,Apollo Hospital,IT,L3,Senior Nurse,Mangaluru,Female,41,PhD,Full-Time,Hybrid,Night,18,5,5,134445,1613340,140521,1,5,4,29,Yes,0,0,399,1,1,5,3.6,Medium,0.5152,No
HOSP10277,Mangalore Medical Centre,Outpatient,L2,Hospital Administrator,Mysuru,Female,42,Diploma,Full-Time,On-Site,Rotational,4,9,20,33945,407340,146729,2,3,5,9,No,3,73,277,3,3,3,29.0,Medium,0.485,Yes
HOSP10278,Manipal Hospital,General Medicine,L4,Radiology Technician,Udupi,Male,27,Bachelor's,Full-Time,On-Site,Rotational,12,0,13,97180,1166160,35059,4,5,4,6,No,5,20,366,6,2,5,35.1,Low,0.5569,Yes
HOSP10279,Manipal Hospital,Pediatrics,L3,Medical Officer,Bengaluru,Female,37,Diploma,Contract,On-Site,Rotational,15,7,1,88453,1061436,1532,3,3,3,35,Yes,13,78,259,5,2,1,21.4,Low,0.8923,Yes
HOSP10280,AIIMS Mangaluru,Pediatrics,L3,Staff Nurse,Hubballi,Female,22,Diploma,Full-Time,On-Site,Day,0,1,7,103404,1240848,102666,4,5,1,34,Yes,4,29,334,10,1,2,34.1,Medium,0.846,Yes
HOSP10281,Mangalore Medical Centre,Pediatrics,L1,Physiotherapist,Kochi,Female,32,Diploma,Part-Time,On-Site,Night,12,8,30,162296,1947552,181877,1,3,2,38,Yes,3,93,233,8,2,5,41.7,Low,0.8797,Yes
HOSP10282,District General Hospital,General Medicine,L5,Radiology Technician,Hubballi,Male,38,MBBS,Full-Time,On-Site,Night,10,7,12,21052,252624,81551,3,2,1,35,Yes,13,7,117,6,0,1,33.6,Medium,0.9438,Yes
HOSP10283,Fortis Hospital,Nursing,L1,Pharmacist,Udupi,Male,31,MBBS,Full-Time,On-Site,Rotational,20,2,22,45272,543264,168828,5,5,2,19,No,3,87,35,4,1,2,14.3,High,0.5114,No
HOSP10284,Apollo Hospital,Outpatient,L2,Pharmacist,Mangaluru,Male,36,MD/MS,Full-Time,Hybrid,Rotational,7,4,5,59150,709800,71880,2,2,1,48,Yes,9,82,173,5,0,5,25.5,Low,0.9465,Yes
HOSP10285,CityCare Hospital,Administration,L1,Pharmacist,Kochi,Female,38,Bachelor's,Full-Time,On-Site,Day,7,8,4,166388,1996656,106734,2,2,2,58,Yes,14,2,35,9,2,5,41.1,Low,0.9871,Yes
HOSP10286,District General Hospital,Outpatient,L3,Medical Officer,Bengaluru,Male,55,Master's,Full-Time,On-Site,Day,13,0,4,156312,1875744,113997,3,2,4,48,Yes,6,54,217,8,2,5,20.5,Low,0.8784,Yes
HOSP10287,District General Hospital,Surgery,L2,Senior Nurse,Udupi,Female,46,Master's,Contract,On-Site,Rotational,12,8,24,115095,1381140,205714,2,2,4,25,Yes,6,14,127,0,2,5,30.8,High,0.842,Yes
HOSP10288,Manipal Hospital,Pharmacy,L1,Staff Nurse,Kochi,Male,36,Master's,Full-Time,On-Site,Day,2,3,0,86774,1041288,165278,5,1,4,35,Yes,1,35,42,10,0,4,21.2,Low,0.759,No
HOSP10289,Mangalore Medical Centre,Physiotherapy,L1,IT Support Engineer,Udupi,Male,26,Diploma,Full-Time,On-Site,Rotational,3,3,8,61175,734100,52168,4,4,4,42,Yes,12,5,61,8,2,5,5.9,High,0.7819,No
HOSP10290,AIIMS Mangaluru,Administration,L1,Data Analyst,Udupi,Female,32,MBBS,Full-Time,On-Site,Night,19,3,5,149637,1795644,113123,5,1,1,42,Yes,6,120,56,5,1,4,3.1,Medium,0.7347,Yes
HOSP10291,AIIMS Mangaluru,Pharmacy,L3,Pharmacist,Bengaluru,Male,33,Bachelor's,Full-Time,On-Site,Rotational,14,9,19,34375,412500,206260,2,3,2,75,Yes,1,41,347,3,3,4,42.9,Medium,0.9717,Yes
HOSP10292,Apollo Hospital,ICU,L3,Ward Assistant,Chennai,Female,24,Diploma,Full-Time,On-Site,Day,14,8,25,43710,524520,155622,4,3,4,32,Yes,3,49,184,4,1,1,27.8,Low,0.7962,No
HOSP10293,Manipal Hospital,Laboratory,L2,Hospital Administrator,Mysuru,Female,59,MBBS,Full-Time,On-Site,Day,20,5,29,164246,1970952,137461,5,4,1,77,Yes,14,111,135,0,3,2,5.1,Medium,0.9587,Yes
HOSP10294,District General Hospital,Laboratory,L2,Physiotherapist,Kochi,Male,22,MBBS,Full-Time,On-Site,Rotational,12,10,6,125026,1500312,87897,1,4,2,44,Yes,0,17,169,6,2,4,38.7,Medium,0.8704,Yes
HOSP10295,Fortis Hospital,Radiology,L3,Resident Doctor,Bengaluru,Female,46,PhD,Full-Time,On-Site,Rotational,8,7,8,45597,547164,166919,1,4,1,44,Yes,4,101,25,7,1,3,23.8,Medium,0.8485,Yes
HOSP10296,Manipal Hospital,Laboratory,L1,Data Analyst,Udupi,Female,47,PhD,Full-Time,On-Site,Night,9,3,4,92289,1107468,104599,4,2,4,14,No,0,82,51,10,0,4,34.9,Medium,0.5527,Yes
HOSP10297,Apollo Hospital,Outpatient,L2,Ward Assistant,Bengaluru,Male,47,Bachelor's,Full-Time,Hybrid,Night,11,2,13,103687,1244244,79239,4,1,3,16,No,15,112,164,4,3,3,6.1,Medium,0.6419,Yes
HOSP10298,Apollo Hospital,General Medicine,L5,Staff Nurse,Chennai,Male,35,Bachelor's,Full-Time,Hybrid,Rotational,13,0,4,136968,1643616,18642,4,3,1,11,No,3,49,313,1,0,1,40.9,Medium,0.6935,Yes
HOSP10299,Manipal Hospital,Physiotherapy,L3,Medical Officer,Mysuru,Female,28,Bachelor's,Full-Time,On-Site,Rotational,0,9,7,58274,699288,106862,1,1,4,21,Yes,12,29,312,7,3,3,26.8,Medium,0.8446,Yes
HOSP10300,Apollo Hospital,Cardiology,L2,IT Support Engineer,Hubballi,Male,27,Diploma,Full-Time,On-Site,Rotational,13,6,6,66634,799608,248751,5,1,5,22,Yes,8,76,196,9,2,1,33.4,Medium,0.7823,No
HOSP10301,Manipal Hospital,Emergency,L3,IT Support Engineer,Kochi,Female,60,MD/MS,Contract,On-Site,Rotational,13,3,12,48041,576492,36509,4,1,2,77,Yes,12,38,196,6,1,1,1.9,Medium,0.9761,Yes
HOSP10302,CityCare Hospital,Radiology,L2,Staff Nurse,Mysuru,Female,32,Bachelor's,Contract,On-Site,Day,7,7,12,156320,1875840,79417,1,4,4,11,No,11,115,80,9,3,1,14.5,Low,0.699,Yes
HOSP10303,Manipal Hospital,Emergency,L3,Resident Doctor,Mangaluru,Male,33,PhD,Full-Time,On-Site,Day,15,2,7,103365,1240380,49237,4,4,5,67,Yes,7,11,96,8,1,3,12.4,Medium,0.9136,Yes
HOSP10304,Mangalore Medical Centre,Pharmacy,L1,Physiotherapist,Kochi,Male,37,MD/MS,Full-Time,On-Site,Rotational,13,0,10,151275,1815300,146486,4,3,1,50,Yes,5,97,105,3,3,3,42.8,Medium,0.9019,Yes
HOSP10305,Manipal Hospital,Emergency,L1,Receptionist,Mysuru,Male,37,Diploma,Part-Time,On-Site,Rotational,0,4,27,69986,839832,63176,4,3,1,12,No,14,58,210,10,3,1,8.7,Low,0.6736,No
HOSP10306,Apollo Hospital,Emergency,L1,Resident Doctor,Udupi,Male,56,MD/MS,Part-Time,On-Site,Day,15,1,25,43370,520440,128633,1,3,5,56,Yes,7,75,26,8,2,1,32.0,Medium,0.9393,Yes
HOSP10307,Mangalore Medical Centre,Radiology,L5,IT Support Engineer,Kochi,Female,41,Master's,Part-Time,On-Site,Day,17,2,17,53247,638964,79865,5,1,5,54,Yes,4,43,104,3,3,2,2.4,Low,0.8394,Yes
HOSP10308,Apollo Hospital,ICU,L3,Consultant Doctor,Kochi,Female,28,MD/MS,Full-Time,Hybrid,Rotational,6,5,24,142403,1708836,117181,1,4,2,27,Yes,6,87,281,2,0,1,9.3,Low,0.737,Yes
HOSP10309,AIIMS Mangaluru,Outpatient,L1,Physiotherapist,Bengaluru,Male,25,Bachelor's,Full-Time,On-Site,Day,14,2,18,137544,1650528,62059,1,2,1,43,Yes,7,3,278,10,3,5,15.6,High,0.8766,Yes
HOSP10310,AIIMS Mangaluru,Pediatrics,L1,Staff Nurse,Udupi,Male,46,Diploma,Part-Time,On-Site,Night,16,2,5,149506,1794072,49150,4,1,5,18,No,6,35,66,2,3,2,35.9,Medium,0.7697,Yes
HOSP10311,Mangalore Medical Centre,Laboratory,L3,IT Support Engineer,Mangaluru,Female,36,Bachelor's,Full-Time,On-Site,Night,18,5,21,80982,971784,88367,3,5,3,45,Yes,13,113,360,9,3,2,35.7,Medium,0.9361,Yes
HOSP10312,CityCare Hospital,Laboratory,L1,IT Support Engineer,Hubballi,Female,56,PhD,Full-Time,On-Site,Rotational,12,4,1,83180,998160,41091,3,1,3,2,No,3,47,113,1,2,2,42.9,High,0.6414,Yes
HOSP10313,AIIMS Mangaluru,General Medicine,L2,Pharmacist,Chennai,Female,48,Master's,Full-Time,On-Site,Rotational,8,9,27,126534,1518408,204196,3,4,5,19,No,4,13,243,9,1,5,41.3,Low,0.7541,No
HOSP10314,Manipal Hospital,Radiology,L5,Staff Nurse,Mysuru,Female,49,PhD,Full-Time,On-Site,Night,14,8,12,42644,511728,903,1,5,2,24,Yes,12,80,298,2,1,2,4.1,High,0.7453,Yes
HOSP10315,Apollo Hospital,General Medicine,L2,Receptionist,Bengaluru,Male,32,Bachelor's,Full-Time,Hybrid,Rotational,2,0,22,56493,677916,241024,4,1,1,74,Yes,13,48,22,7,2,2,37.4,Low,0.9911,Yes
HOSP10316,AIIMS Mangaluru,Cardiology,L3,Staff Nurse,Mysuru,Female,57,Bachelor's,Full-Time,On-Site,Rotational,0,2,24,101824,1221888,54235,3,4,3,55,Yes,9,66,148,10,0,3,20.6,Medium,0.9008,Yes
HOSP10317,AIIMS Mangaluru,Cardiology,L5,Receptionist,Mangaluru,Female,50,Bachelor's,Full-Time,On-Site,Night,15,2,27,153031,1836372,189637,2,4,5,80,Yes,5,101,342,7,0,3,39.0,Medium,0.9791,Yes
HOSP10318,CityCare Hospital,General Medicine,L2,Physiotherapist,Mangaluru,Male,43,MBBS,Full-Time,On-Site,Rotational,7,10,25,65289,783468,55342,2,2,5,60,Yes,13,86,268,1,2,1,4.5,High,0.9414,Yes
HOSP10319,Mangalore Medical Centre,Radiology,L1,Hospital Administrator,Kochi,Female,36,Master's,Full-Time,On-Site,Day,12,5,10,160215,1922580,173795,2,1,4,54,Yes,13,76,248,10,1,1,37.1,Medium,0.9787,Yes
HOSP10320,Mangalore Medical Centre,General Medicine,L2,Consultant Doctor,Chennai,Female,34,Bachelor's,Full-Time,On-Site,Day,7,7,0,171612,2059344,35572,5,4,5,34,Yes,11,8,346,1,0,4,7.6,Medium,0.7438,No
HOSP10321,District General Hospital,Laboratory,L4,Data Analyst,Mangaluru,Male,30,Bachelor's,Full-Time,Hybrid,Day,16,2,23,53481,641772,17610,4,3,2,77,Yes,15,20,150,1,2,5,15.4,Medium,0.9727,Yes
HOSP10322,CityCare Hospital,Administration,L4,Staff Nurse,Mysuru,Male,27,PhD,Full-Time,Hybrid,Day,13,2,1,95097,1141164,34052,1,4,3,58,Yes,10,104,247,9,1,3,1.8,Low,0.9091,Yes
HOSP10323,Manipal Hospital,Surgery,L4,Ward Assistant,Udupi,Male,57,PhD,Part-Time,On-Site,Night,20,5,29,40578,486936,98993,1,2,4,38,Yes,5,71,196,6,0,1,6.0,Medium,0.7858,Yes
HOSP10324,Mangalore Medical Centre,Physiotherapy,L1,Radiology Technician,Udupi,Female,49,Bachelor's,Full-Time,On-Site,Rotational,20,7,16,161859,1942308,87063,4,4,3,56,Yes,12,80,342,5,0,5,20.3,Low,0.9365,Yes
HOSP10325,Apollo Hospital,Emergency,L4,Lab Technician,Kochi,Female,23,Diploma,Full-Time,On-Site,Rotational,6,5,7,90048,1080576,168622,5,1,3,66,Yes,8,15,330,10,2,2,36.9,Medium,0.9759,Yes
HOSP10326,CityCare Hospital,Surgery,L4,Lab Technician,Hubballi,Male,35,MBBS,Full-Time,On-Site,Rotational,14,9,1,159668,1916016,185105,4,1,2,33,Yes,9,15,50,0,1,5,34.9,Medium,0.8999,Yes
HOSP10327,AIIMS Mangaluru,Outpatient,L3,Staff Nurse,Mysuru,Male,56,PhD,Contract,Hybrid,Night,15,2,5,169002,2028024,160083,5,5,5,40,Yes,13,27,85,1,0,3,11.0,High,0.8624,Yes
HOSP10328,Apollo Hospital,Radiology,L5,Receptionist,Mysuru,Female,39,Diploma,Full-Time,On-Site,Night,18,3,30,113737,1364844,233883,3,1,2,21,Yes,13,50,225,0,2,4,7.3,Medium,0.7048,Yes
HOSP10329,Apollo Hospital,Nursing,L4,Ward Assistant,Mangaluru,Male,33,MBBS,Full-Time,On-Site,Night,5,0,21,36687,440244,165836,3,5,5,26,Yes,1,55,120,10,0,3,17.8,High,0.5407,No
HOSP10330,AIIMS Mangaluru,Surgery,L3,Hospital Administrator,Chennai,Male,41,Bachelor's,Full-Time,On-Site,Day,0,7,4,140540,1686480,97540,5,3,4,20,Yes,5,79,339,6,1,1,39.8,Low,0.7726,Yes
HOSP10331,CityCare Hospital,Physiotherapy,L3,Pharmacist,Mysuru,Male,57,Master's,Full-Time,On-Site,Day,11,3,15,48183,578196,53533,4,2,2,40,Yes,12,56,50,5,3,1,4.6,Low,0.8745,Yes
HOSP10332,AIIMS Mangaluru,Cardiology,L2,Receptionist,Bengaluru,Female,47,MD/MS,Contract,Hybrid,Rotational,17,5,7,38758,465096,155136,3,3,2,30,Yes,2,109,392,1,0,5,24.7,Medium,0.6888,Yes
HOSP10333,District General Hospital,Pharmacy,L1,Medical Officer,Hubballi,Female,49,MD/MS,Part-Time,On-Site,Rotational,15,10,18,150154,1801848,123989,4,5,1,26,Yes,13,51,210,1,1,3,4.5,Medium,0.7104,Yes
HOSP10334,Apollo Hospital,Emergency,L3,Medical Officer,Mangaluru,Female,40,Bachelor's,Full-Time,On-Site,Day,11,2,15,114368,1372416,180653,3,4,2,36,Yes,1,45,85,1,0,1,21.4,Medium,0.7463,Yes
HOSP10335,Fortis Hospital,Physiotherapy,L2,Physiotherapist,Bengaluru,Female,45,PhD,Full-Time,On-Site,Day,19,10,12,63891,766692,120388,4,4,1,65,Yes,5,77,322,7,3,2,6.1,Medium,0.8616,Yes
HOSP10336,Fortis Hospital,Pediatrics,L4,Lab Technician,Kochi,Female,26,Diploma,Full-Time,On-Site,Rotational,12,10,25,64901,778812,28702,4,3,5,53,Yes,3,109,254,6,3,2,4.1,Low,0.75,Yes
HOSP10337,Manipal Hospital,Nursing,L5,Staff Nurse,Udupi,Female,56,Master's,Full-Time,On-Site,Day,7,5,30,121912,1462944,216773,2,4,5,8,No,4,107,297,0,0,4,9.0,Medium,0.3694,No
HOSP10338,Mangalore Medical Centre,Radiology,L4,Medical Officer,Kochi,Male,22,MBBS,Full-Time,On-Site,Rotational,0,10,19,89062,1068744,123482,5,5,5,41,Yes,4,37,221,3,2,5,11.9,Low,0.7113,Yes
HOSP10339,AIIMS Mangaluru,Emergency,L1,Staff Nurse,Udupi,Female,42,Bachelor's,Full-Time,On-Site,Rotational,20,8,6,170635,2047620,8631,1,2,1,35,Yes,2,83,369,10,0,1,12.8,Low,0.8074,Yes
HOSP10340,AIIMS Mangaluru,Outpatient,L2,Physiotherapist,Kochi,Female,52,Master's,Full-Time,On-Site,Rotational,6,8,30,90008,1080096,87388,5,1,5,9,No,15,108,244,3,1,4,29.2,Low,0.7887,Yes
HOSP10341,Manipal Hospital,Surgery,L1,Lab Technician,Mysuru,Male,36,Master's,Full-Time,On-Site,Night,14,9,15,151847,1822164,124798,4,5,3,58,Yes,11,47,102,6,2,2,2.9,Medium,0.8949,Yes
HOSP10342,Manipal Hospital,Cardiology,L3,Resident Doctor,Bengaluru,Female,38,PhD,Contract,On-Site,Rotational,12,2,22,164900,1978800,70043,4,5,2,39,Yes,3,40,65,1,1,4,4.1,Medium,0.6832,No
HOSP10343,Manipal Hospital,ICU,L4,Hospital Administrator,Udupi,Female,25,MBBS,Full-Time,On-Site,Night,12,2,15,35974,431688,197135,5,1,1,53,Yes,2,97,108,3,1,4,8.9,Low,0.823,Yes
HOSP10344,Apollo Hospital,Administration,L4,Radiology Technician,Mangaluru,Male,56,Master's,Part-Time,On-Site,Rotational,8,3,28,171460,2057520,160053,4,1,5,38,Yes,6,117,205,0,2,1,39.3,Medium,0.8834,Yes
HOSP10345,District General Hospital,Pediatrics,L2,Radiology Technician,Bengaluru,Male,50,PhD,Full-Time,On-Site,Night,14,6,11,98591,1183092,35764,3,2,3,6,No,14,58,394,10,3,1,28.5,Medium,0.7769,Yes
HOSP10346,AIIMS Mangaluru,Nursing,L4,Medical Officer,Mangaluru,Male,39,Diploma,Full-Time,On-Site,Day,3,2,13,36615,439380,232843,4,2,2,3,No,15,92,208,10,1,1,33.0,High,0.7925,Yes
HOSP10347,Apollo Hospital,Administration,L4,Radiology Technician,Bengaluru,Female,43,PhD,Full-Time,On-Site,Night,12,9,23,40838,490056,181585,5,2,2,14,No,0,66,265,3,0,5,17.0,Medium,0.4268,Yes
HOSP10348,Manipal Hospital,Emergency,L2,IT Support Engineer,Bengaluru,Male,54,Diploma,Full-Time,On-Site,Night,11,7,17,58728,704736,129014,5,4,5,75,Yes,15,73,65,10,3,4,10.0,Low,0.9591,Yes
HOSP10349,AIIMS Mangaluru,Cardiology,L4,Hospital Administrator,Kochi,Female,33,Diploma,Full-Time,Hybrid,Rotational,4,10,26,134249,1610988,113076,5,5,3,47,Yes,14,83,276,0,3,4,2.2,High,0.8134,Yes
HOSP10350,Apollo Hospital,Cardiology,L2,Receptionist,Udupi,Female,49,Master's,Full-Time,On-Site,Rotational,6,7,27,96000,1152000,99007,2,1,1,5,No,15,65,371,1,2,5,22.2,Low,0.7653,Yes
HOSP10351,District General Hospital,Physiotherapy,L2,Resident Doctor,Udupi,Female,56,PhD,Contract,On-Site,Rotational,7,5,17,70798,849576,197270,2,5,5,72,Yes,5,26,80,1,0,2,26.1,Medium,0.9748,Yes
HOSP10352,Apollo Hospital,Surgery,L3,Hospital Administrator,Chennai,Female,42,Diploma,Full-Time,On-Site,Day,4,3,15,168694,2024328,24940,2,5,2,34,Yes,3,31,124,9,0,3,40.4,Medium,0.877,Yes
HOSP10353,District General Hospital,Physiotherapy,L2,IT Support Engineer,Bengaluru,Male,56,MBBS,Full-Time,On-Site,Rotational,8,10,19,162608,1951296,107418,2,2,2,71,Yes,15,55,356,2,3,2,39.8,Low,0.9944,Yes
HOSP10354,Manipal Hospital,Laboratory,L3,Billing Executive,Mysuru,Male,29,Master's,Contract,On-Site,Night,13,10,15,154772,1857264,71792,2,2,2,70,Yes,0,9,33,7,1,5,19.4,Medium,0.9552,Yes
HOSP10355,District General Hospital,Surgery,L3,Receptionist,Mysuru,Female,59,PhD,Full-Time,On-Site,Rotational,11,4,12,28248,338976,159504,2,5,5,67,Yes,0,39,320,10,1,4,19.3,Low,0.9242,Yes
HOSP10356,AIIMS Mangaluru,Laboratory,L3,IT Support Engineer,Mangaluru,Male,39,PhD,Full-Time,On-Site,Rotational,3,1,25,63291,759492,8367,2,2,4,57,Yes,4,16,96,5,0,4,7.7,High,0.8913,Yes
HOSP10357,Manipal Hospital,Physiotherapy,L2,Staff Nurse,Mangaluru,Female,58,MD/MS,Full-Time,On-Site,Day,19,5,28,100629,1207548,111764,5,4,4,76,Yes,13,57,249,5,3,1,12.0,Low,0.971,Yes
HOSP10358,AIIMS Mangaluru,Laboratory,L3,Physiotherapist,Kochi,Female,26,PhD,Part-Time,On-Site,Rotational,7,2,8,143612,1723344,234673,1,1,4,18,No,4,117,186,8,3,1,41.7,Medium,0.7989,Yes
HOSP10359,Fortis Hospital,Pediatrics,L3,Data Analyst,Bengaluru,Female,35,Master's,Contract,On-Site,Day,16,5,25,35177,422124,156583,2,5,3,61,Yes,9,96,85,7,3,4,6.8,Medium,0.914,Yes
HOSP10360,CityCare Hospital,Physiotherapy,L3,Resident Doctor,Mangaluru,Male,40,MBBS,Contract,On-Site,Night,7,4,27,168555,2022660,8573,5,1,5,70,Yes,6,5,51,1,2,4,43.6,Low,0.9816,Yes
HOSP10361,District General Hospital,Surgery,L2,Data Analyst,Mangaluru,Female,29,PhD,Full-Time,On-Site,Night,20,1,8,61815,741780,15582,1,4,2,9,No,12,38,115,5,0,1,23.0,Medium,0.779,Yes
HOSP10362,CityCare Hospital,IT,L1,Physiotherapist,Hubballi,Female,52,MD/MS,Part-Time,On-Site,Day,0,4,12,56533,678396,136450,2,2,3,24,Yes,11,110,77,0,0,1,20.8,High,0.8639,Yes
HOSP10363,CityCare Hospital,Physiotherapy,L3,Physiotherapist,Bengaluru,Male,24,Master's,Full-Time,Hybrid,Rotational,19,4,28,18026,216312,65296,1,3,4,43,Yes,3,17,123,8,1,2,8.3,Medium,0.7934,No
HOSP10364,District General Hospital,ICU,L1,IT Support Engineer,Kochi,Male,38,Diploma,Full-Time,On-Site,Day,1,8,3,122997,1475964,144572,1,4,1,57,Yes,13,72,331,3,1,4,29.9,Medium,0.9655,Yes
HOSP10365,Manipal Hospital,Nursing,L3,Lab Technician,Mangaluru,Male,25,Bachelor's,Full-Time,On-Site,Day,3,10,8,78611,943332,65841,3,3,3,24,Yes,8,71,153,3,0,4,21.0,Medium,0.6759,No
